"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.19356938667349e-23,28,530,14.3905660377358,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," E2F2  AKT1  FGF1  GSK3B  IGF1  FAS  AR  JAK1  JAK2  KIT  LAMA2  LAMB3  SMAD4  MYC  NOTCH3  PDGFB  PDGFRA  MAP2K2  RB1  BCL2L1  RPS6KB2  STAT2  STAT5A  TGFBR2  VEGFA  NCOA3  CASP8  CCND2"
2.92635224525246e-19,22,354,16.9283696529459,"Path:hsa04151 PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 "," EIF4E  AKT1  FGF1  GSK3B  IGF1  JAK1  JAK2  KIT  LAMA2  LAMB3  MYC  PDGFB  PDGFRA  MAP2K2  RPTOR  BCL2L1  RHEB  RPS6  RPS6KB2  TSC2  VEGFA  CCND2"
1.721053436117e-18,14,79,48.2721518987342,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," EIF4E  AKT1  GSK3B  IGF1  JAK1  JAK2  NF1  PDGFB  PDGFRA  MAP2K2  BCL2L1  RPS6  RPS6KB2  VEGFA"
4.5448589697922e-16,19,331,15.6358437634873,"Path:hsa05165 Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05165 "," RBPJL  AKT1  GSK3B  FAS  JAK1  LAMA2  LAMB3  NOTCH3  MAP2K2  PSEN1  RB1  RHEB  RPS6KB2  STAT2  TSC2  VEGFA  CASP8  CCND2  MAML1"
3.60891919477827e-14,14,162,23.5401234567901,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," MAPK14  E2F2  AKT1  FAS  JAK1  JAK2  SMAD4  MYC  MAP2K2  RB1  STAT2  STAT5A  TGFBR2  CASP8"
1.19607265692286e-13,15,224,18.2405931122449,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," MAPK14  E2F2  AKT1  GSK3B  FAS  JAK1  MYC  PDGFRA  MAP2K2  RB1  RHEB  RPS6KB2  TSC2  VEGFA  CASP8"
3.23396384299558e-13,14,194,19.6572164948454,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," MAPK14  E2F2  AKT1  GSK3B  FAS  JAK1  JAK2  MYC  PDGFB  MAP2K2  RB1  STAT2  VEGFA  CASP8"
1.83378541699406e-12,14,222,17.1779279279279,"Path:hsa05166 Human T-cell leukemia virus 1 infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05166 "," CDKN2C  E2F2  AKT1  JAK1  SMAD4  MMP7  MYC  MAP2K2  RAN  RB1  BCL2L1  STAT5A  TGFBR2  CCND2"
5.13794286878866e-12,12,147,22.2361516034985,"Path:hsa05224 Breast cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05224 "," E2F2  AKT1  FGF1  GSK3B  IGF1  KIT  MYC  NOTCH3  MAP2K2  RB1  RPS6KB2  NCOA3"
9.44410457227763e-12,12,156,20.9532967032967,"Path:hsa04218 Cellular senescence","http://www.genome.jp/kegg-bin/show_pathway?hsa04218 "," MAPK14  E2F2  AKT1  MYC  MAP2K2  RB1  RHEB  ZFP36L1  TGFBR2  TSC2  CCNB1  CCND2"
3.54053750078507e-11,10,95,28.6729323308271,"Path:hsa01522 Endocrine resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01522 "," CDKN2C  MAPK14  E2F2  AKT1  IGF1  NOTCH3  MAP2K2  RB1  RPS6KB2  NCOA3"
5.62755373766828e-11,14,294,12.9710884353741,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," MAPK14  AKT1  FGF1  IGF1  FAS  KIT  MYC  NF1  PDGFB  PDGFRA  MAP2K2  TGFBR2  VEGFA  MAP3K13"
1.05326948656827e-10,11,148,20.2454150579151,"Path:hsa05226 Gastric cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05226 "," E2F2  AKT1  FGF1  GSK3B  SMAD4  MYC  ABCB1  MAP2K2  RB1  RPS6KB2  TGFBR2"
1.17645974499518e-10,9,76,32.2570488721804,"Path:hsa05212 Pancreatic cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05212 "," E2F2  AKT1  JAK1  SMAD4  RB1  BCL2L1  RPS6KB2  TGFBR2  VEGFA"
1.17645974499518e-10,9,76,32.2570488721804,"Path:hsa05220 Chronic myeloid leukemia","http://www.genome.jp/kegg-bin/show_pathway?hsa05220 "," E2F2  AKT1  SMAD4  MYC  MAP2K2  RB1  BCL2L1  STAT5A  TGFBR2"
2.14602465525376e-10,11,161,18.6106921029281,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," SPRY2  E2F2  MYC  NOTCH3  PDGFB  PDGFRA  ABCB1  MAP2K2  RPTOR  VEGFA  CCND2"
3.0061727387355e-10,11,167,17.9420444824636,"Path:hsa05225 Hepatocellular carcinoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05225 "," E2F2  AKT1  GSK3B  SMAD4  MYC  MAP2K2  RB1  BCL2L1  RPS6KB2  SMARCD1  TGFBR2"
9.24238714013269e-10,9,97,25.2735640648012,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 "," E2F2  AKT1  GSK3B  IGF1  AR  PDGFB  PDGFRA  MAP2K2  RB1"
2.08823866423656e-09,11,202,14.8332743988685,"Path:hsa05169 Epstein-Barr virus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05169 "," RBPJL  MAPK14  E2F2  AKT1  FAS  JAK1  MYC  RB1  STAT2  CASP8  CCND2"
2.25061832006687e-09,8,72,30.265873015873,"Path:hsa05218 Melanoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05218 "," E2F2  AKT1  FGF1  IGF1  PDGFB  PDGFRA  MAP2K2  RB1"
2.52133831069734e-09,10,155,17.573732718894,"Path:hsa04150 mTOR signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04150 "," EIF4E  AKT1  GSK3B  IGF1  MAP2K2  RPTOR  RHEB  RPS6  RPS6KB2  TSC2"
2.61163560394833e-09,11,210,14.2681972789116,"Path:hsa04015 Rap1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04015 "," MAPK14  AKT1  FGF1  IGF1  KIT  AFDN  PDGFB  PDGFRA  PRKD1  MAP2K2  VEGFA"
