protein,PAM50 mRNA
PAM50 mRNA,1.0
NP_001611,0.40658887440241637
NP_076965,0.2645384199246744
NP_001367,0.31715761559752825
NP_002464,0.29489581683032023
NP_061198,0.32946278554585223
NP_036467,0.2833459461598908
NP_004989,0.465527405207857
NP_149043,0.2837277207809712
NP_060003,0.21041714327356723
NP_060004,0.22056077862818294
NP_005954,0.2514606982809812
NP_002463,0.22406574980215838
NP_065935,0.22045228743934897
NP_001242970,0.2163693359383649
NP_002465,0.2387617954957093
NP_001035202,0.2410635156066794
NP_878918,0.2995563529289982
NP_003118,0.4258006035528351
NP_001123910,0.4235376074372356
NP_001182461,0.42509361807023943
NP_000375,0.41390702172478266
NP_001447,0.23244726464754195
NP_001157789,0.36564274588841134
NP_001448,0.3647013817542044
NP_003119,0.43170808887045214
NP_842565,0.4352312038875097
NP_001020029,0.23936212367093285
NP_008877,0.23968782268190045
NP_000338,0.23951269956659066
NP_066022,0.3992291066794367
NP_005742,0.31140931768648983
NP_671714,0.31209013125110213
NP_005520,0.27384086449072503
NP_065816,0.2680604731118268
NP_006280,0.36183133634484554
NP_612482,0.27703964418146276
NP_006176,0.38470942206018466
NP_872634,0.23539370447263608
NP_003128,0.3159508245989023
NP_003997,0.5035743834639799
NP_004005,0.49973958622461817
NP_004007,0.4856769470444907
NP_000055,0.3237760477370937
NP_003117,0.21759781937754888
NP_003861,0.24645321157743075
NP_839943,0.3845366921640831
NP_002895,0.3558228969913026
NP_078873,0.26898954387789165
NP_001166987,0.25872638425472644
NP_065700,0.24328535448091568
NP_006717,0.5376368477225371
NP_001186211,0.5389898480107405
NP_056493,0.2536585188877195
NP_510880,0.21296948965313153
NP_001124459,0.4629534681348124
NP_001124453,0.4432852212640817
NP_000543,0.27889883025975687
NP_005551,0.5459447315129983
NP_937762,0.2863939927646148
NP_942133,0.20786150148783808
NP_004332,0.313059007738764
NP_001072989,0.3019057440016204
NP_001072990,0.3047937301112966
NP_000005,0.3689987141602609
NP_002855,0.42094420449920517
NP_573566,0.2178047468773799
NP_003364,0.2139255225212506
NP_056083,0.21290045050812328
NP_001123476,0.3996059641966952
NP_001093,0.40057034092373006
NP_004915,0.557290095699494
NP_001265272,0.5249593809360383
NP_001095,0.4822265441378096
NP_055426,0.27165842863435774
NP_009131,0.27161474841228733
NP_055872,0.2234421882838802
NP_004990,0.2622589178054184
NP_056110,0.3234161725068464
NP_001243194,0.2522330576487654
NP_001243193,0.2554915842404921
NP_068506,0.30355155571427855
NP_003165,0.3088869293262612
NP_000028,0.22285557564195013
NP_065210,0.22108031745974233
NP_009049,0.2784725446055079
NP_001135452,0.39218627048983135
NP_444259,0.3297498164386125
NP_004949,0.20741060217258733
NP_005723,0.33967812268335257
NP_002284,0.4076848027907293
NP_852118,0.36778430451081806
NP_055490,0.2599365876874008
NP_001098677,0.32754207457752926
NP_000457,0.26511718478745766
NP_002524,0.2479871347727502
NP_065871,0.573713723358061
NP_612378,0.3535926571334277
NP_003290,0.35710943111443544
NP_001092693,0.5308164667735895
NP_002408,0.2848893726883023
NP_872313,0.23708827871486687
NP_005373,0.20703748238333566
NP_000414,0.3197466552214632
NP_006149,0.21718002431658384
NP_002275,0.36110045557290954
NP_066554,0.22756947197599892
NP_002272,0.3969675105790702
NP_001243211,0.421657191956005
NP_002046,0.3593080470996718
NP_116116,0.22086360216235235
NP_542785,0.4251052094439196
NP_001099011,0.2121336677315068
NP_005547,0.2643129038814246
NP_000415,0.4361175586996216
NP_005546,0.24785829004580676
NP_005545,0.2361236021676895
NP_056069,0.254660782310501
NP_008985,0.4512544691017675
NP_004789,0.3865287669880406
NP_065810,0.2181339797709721
NP_002245,0.24992532499432607
NP_078980,0.3855666952570087
NP_071396,0.38305809878264624
NP_001099038,0.37767703390895585
NP_001186795,0.38752401247910356
NP_004312,0.25257780905634886
NP_904325,0.2668015146319685
NP_002102,0.27285675825744626
NP_006608,0.30658885862124824
NP_004136,0.3072235352088098
NP_001716,0.3258645115242458
NP_004841,0.43954186965846903
NP_005397,0.2963446647499553
NP_001185730,0.23858009976139288
NP_001263347,0.4170578586085275
NP_055681,0.4150015209522294
NP_065821,0.35247274017529634
NP_002282,0.4727845670455522
NP_001193583,0.23011520909211378
NP_006303,0.22374480365636973
NP_006302,0.20022428167926323
NP_663780,0.44051445843283055
NP_056101,0.43571274135643007
NP_064505,0.2867345764586799
NP_064506,0.3016717285113572
NP_149072,0.5178060087122144
NP_059995,0.3284406645485684
NP_078789,0.40694288549716534
NP_006188,0.31502197582512237
NP_003461,0.2695501434565313
NP_055791,0.3553609288958672
NP_006466,0.28004821102802635
NP_001129406,0.2792803423271655
NP_001129407,0.2769186981048201
NP_001103132,0.31689816594839026
NP_006411,0.2169668301064891
NP_006412,0.2687292472016544
NP_001726,0.34337651357464155
NP_001422,0.2016721248868553
NP_004428,0.212442041180824
NP_001258928,0.39461037981863734
NP_212132,0.39396911117733435
NP_002145,0.4992364899916782
NP_065741,0.5515322627028149
NP_060217,0.5460911895305003
NP_078944,0.5175765779725846
NP_001073883,0.2232442498361132
NP_057688,0.5025915711832989
NP_060903,0.2624064346995236
NP_001509,0.4261803533644501
NP_001003795,0.22250111253427046
NP_775808,0.20759552728811445
NP_938149,0.2349468230085059
NP_938148,0.23621159536865902
NP_940978,0.4723653254226435
NP_000292,0.2938244628040597
NP_005568,0.3306961859077232
NP_055454,0.24065660494087301
NP_000177,0.27627909747592216
NP_002104,0.26014964737577917
NP_066303,0.30642094516038937
NP_001188479,0.2169662386767583
NP_055205,0.26758545289725366
NP_060542,0.2923750446404432
NP_006286,0.35906385510331185
NP_065073,0.4888748521315209
NP_056281,0.24586625609696833
NP_000087,0.27897970235079295
NP_004578,0.35756160008787097
NP_065972,0.348604933172243
NP_002435,0.33824722075929076
NP_002897,0.2757915095401921
NP_001247425,0.2790039871445458
NP_060783,0.2042763629347135
NP_003852,0.3550845371172426
NP_001186308,0.2243922849785141
NP_004184,0.22644694968012175
NP_001155901,0.26252451199606464
NP_037506,0.2580600306853831
NP_002334,0.2694828895940651
NP_004482,0.45360154161909566
NP_055644,0.47009096807239664
NP_009117,0.31343038209112084
NP_001123892,0.49357730410731676
NP_003066,0.503414330684373
NP_003473,0.2799074226922199
NP_061322,0.4423666135265572
NP_001181885,0.4488889015331359
