protein,Tumor
Tumor,1.0
NP_149043,0.3182079428029636
NP_001139,0.36658176969676964
NP_066187,0.3579761846617975
NP_065821,0.3066943521045143
NP_653259,0.3338024898347307
NP_004937,0.3062694213301693
NP_002652,0.3260862060386593
NP_056289,0.300339323255603
NP_001257293,0.3113239774966762
NP_689714,0.342010871414936
NP_073602,0.34580835775329316
NP_945353,0.32576025787013213
NP_006381,0.31089449860663604
NP_056972,0.3650100126626322
NP_659412,0.3102522693545911
NP_036424,0.3621327549731823
NP_001245257,0.3505433832789404
NP_001157632,0.30921800748111067
NP_065781,0.31605095925721927
NP_066943,0.3228041233521044
NP_001159750,0.31212077893893236
NP_001136171,0.3150609324250779
NP_009005,0.32526979402811834
NP_000681,0.35398384639047864
NP_005419,0.30234813478979244
NP_079093,0.3457865221916525
NP_055848,0.3036896451115547
NP_065825,0.3353155950251078
NP_861447,0.3553404517138094
NP_006102,0.39295849581177295
NP_006038,0.33026516411707313
NP_001070,0.34804524421057953
NP_783161,0.3049844533807151
NP_757366,0.32983575673060794
NP_002729,0.33277453852942906
NP_997700,0.3210993815028787
NP_006497,0.32992569766862745
NP_004586,0.3263060423773226
NP_004146,0.3471812604526971
NP_055531,0.3259631682857418
NP_004528,0.3006928138610603
NP_001092108,0.30154257663421713
NP_057377,0.3380473438101272
NP_071682,0.3165370167176875
NP_056528,0.3502620379219295
NP_064516,0.30892527018656163
NP_694453,0.3052155248239114
NP_001035830,0.3015418674315582
NP_001280,0.32278757952825904
NP_620147,0.30890693230466937
NP_000181,0.300090560619546
NP_001130002,0.30275356922606295
NP_006207,0.3022331407700691
NP_001120700,0.3092873844044439
NP_001921,0.3288216731590545
NP_001193903,0.32732786042044976
NP_060930,0.3234928421018439
NP_115553,0.3013773204634952
NP_002576,0.3224541415653907
NP_001186506,0.31849951423658995
NP_001230707,0.3127235892201165
NP_057033,0.3116044663159522
NP_009039,0.3491237467481538
NP_996896,0.3593746789608701
NP_005701,0.30986808915021397
NP_001003793,0.32593302366337046
NP_005169,0.30705839035933447
NP_055082,0.3846360763922711
NP_005639,0.3112658662272745
NP_036465,0.31301735556657173
