"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0445080546109197,3,79,17.0372300819062,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," IGF1R  NF1  RPS6KB2"
0.0445080546109197,3,89,15.1229345670853,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," IGF1R  PRKAA1  RPS6KB2"
0.0445080546109197,3,62,21.7087286527514,"Path:hsa04213 Longevity regulating pathway-multiple species","http://www.genome.jp/kegg-bin/show_pathway?hsa04213 "," IGF1R  PRKAA1  RPS6KB2"
0.0536792469386132,3,121,11.1234807972776,"Path:hsa04152 AMPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04152 "," IGF1R  PRKAA1  RPS6KB2"
0.0536792469386132,3,108,12.4624183006536,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," PRKAA1  RPS6KB2  OGT"
0.0536792469386132,4,249,7.20718166784786,"Path:hsa05132 Salmonella infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05132 "," FLNB  AHNAK  FYCO1  GCC2"
0.0619677528160071,3,141,9.54568210262829,"Path:hsa04140 Autophagy-animal","http://www.genome.jp/kegg-bin/show_pathway?hsa04140 "," IGF1R  PRKAA1  RPS6KB2"
0.0619677528160071,3,138,9.75319693094629,"Path:hsa04371 Apelin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04371 "," PLCB3  PRKAA1  RPS6KB2"
0.0622105234476015,2,44,20.3930481283422,"Path:hsa00970 Aminoacyl-tRNA biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00970 "," HARS2  YARS2"
0.0645602233323958,3,155,8.68349146110057,"Path:hsa04150 mTOR signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04150 "," IGF1R  PRKAA1  RPS6KB2"
0.0930979359270522,2,60,14.9549019607843,"Path:hsa04730 Long-term depression","http://www.genome.jp/kegg-bin/show_pathway?hsa04730 "," IGF1R  PLCB3"
0.102643551193279,3,202,6.66307513104252,"Path:hsa05205 Proteoglycans in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05205 "," FLNB  IGF1R  RPS6KB2"
0.102643551193279,2,67,13.3924495171203,"Path:hsa05221 Acute myeloid leukemia","http://www.genome.jp/kegg-bin/show_pathway?hsa05221 "," PML  RPS6KB2"
0.163052184996201,1,8,56.0808823529412,"Path:hsa04122 Sulfur relay system","http://www.genome.jp/kegg-bin/show_pathway?hsa04122 "," MOCS2"
0.163913146228119,2,95,9.44520123839009,"Path:hsa01522 Endocrine resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01522 "," IGF1R  RPS6KB2"
0.186937759603056,2,109,8.23205612520237,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," IGF1R  RPS6KB2"
0.186937759603056,2,106,8.46503884572697,"Path:hsa04922 Glucagon signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04922 "," PLCB3  PRKAA1"
0.199197055479114,3,294,4.57803121248499,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," FLNB  IGF1R  NF1"
