"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0156457901028461,10,1538,3.71927828348505,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CMBL  ACSL4  MTHFD1L  TKFC  GLS  PSAT1  ACADSB  LDHB  BLVRA  CA12"
0.0727265302714583,2,43,26.6058139534884,"Path:hsa00071 Fatty acid degradation","http://www.genome.jp/kegg-bin/show_pathway?hsa00071 "," ACSL4  ACADSB"
0.0727265302714583,2,50,22.881,"Path:hsa00270 Cysteine and methionine metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00270 "," PSAT1  LDHB"
0.0727265302714583,2,57,20.0710526315789,"Path:hsa01212 Fatty acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01212 "," ACSL4  ACADSB"
0.0867866898180845,2,70,16.3435714285714,"Path:hsa05230 Central carbon metabolism in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05230 "," GLS  LDHB"
0.113148243564497,1,6,95.3375,"Path:hsa00470 D-Amino acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00470 "," GLS"
0.160154678388178,2,115,9.94826086956522,"Path:hsa01200 Carbon metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01200 "," TKFC  PSAT1"
0.183610330885704,1,18,31.7791666666667,"Path:hsa00061 Fatty acid biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00061 "," ACSL4"
0.183610330885704,1,22,26.0011363636364,"Path:hsa00220 Arginine biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00220 "," GLS"
0.183610330885704,1,20,28.60125,"Path:hsa00670 One carbon pool by folate","http://www.genome.jp/kegg-bin/show_pathway?hsa00670 "," MTHFD1L"
0.183610330885704,2,153,7.47745098039216,"Path:hsa01240 Biosynthesis of cofactors","http://www.genome.jp/kegg-bin/show_pathway?hsa01240 "," MTHFD1L  PSAT1"
0.183610330885704,2,191,5.98979057591623,"Path:hsa04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04062 "," LYN  PREX1"
0.183610330885704,2,170,6.72970588235294,"Path:hsa04310 Wnt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04310 "," SFRP1  TLE3"
0.183610330885704,1,26,22.0009615384615,"Path:hsa04950 Maturity onset diabetes of the young","http://www.genome.jp/kegg-bin/show_pathway?hsa04950 "," FOXA3"
0.183610330885704,1,23,24.870652173913,"Path:hsa04964 Proximal tubule bicarbonate reclamation","http://www.genome.jp/kegg-bin/show_pathway?hsa04964 "," GLS"
0.183610330885704,2,194,5.89716494845361,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," LYN  PREX1"
