"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00390946135754264,4,109,17.1361168320539,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," PLCG2  PRKCB  ELOC  ELOB"
0.00390946135754264,5,210,11.1180758017493,"Path:hsa05170 Human immunodeficiency virus 1 infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05170 "," SAMHD1  PLCG2  PRKCB  ELOC  ELOB"
0.00390946135754264,5,202,11.5583956354819,"Path:hsa05205 Proteoglycans in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05205 "," ANK2  PLCG2  PRKCB  VAV1  ARHGEF1"
0.019920897522037,4,191,9.77924991986323,"Path:hsa04062 Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04062 "," DOCK2  PLCG2  PRKCB  VAV1"
0.019920897522037,3,81,17.2947845804989,"Path:hsa04662 B cell receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04662 "," PLCG2  PRKCB  VAV1"
0.0263827599750748,3,97,14.4420366084578,"Path:hsa04666 Fc gamma R-mediated phagocytosis","http://www.genome.jp/kegg-bin/show_pathway?hsa04666 "," PLCG2  PRKCB  VAV1"
0.0359537181773232,3,114,12.2883995703545,"Path:hsa04670 Leukocyte transendothelial migration","http://www.genome.jp/kegg-bin/show_pathway?hsa04670 "," PLCG2  PRKCB  VAV1"
0.0456974929173888,3,130,10.7759811616954,"Path:hsa04650 Natural killer cell mediated cytotoxicity","http://www.genome.jp/kegg-bin/show_pathway?hsa04650 "," PLCG2  PRKCB  VAV1"
0.0692559482156861,2,50,18.6783673469388,"Path:hsa00330 Arginine and proline metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00330 "," ALDH2  SMS"
0.0692559482156861,3,169,8.28921627822727,"Path:hsa04530 Tight junction","http://www.genome.jp/kegg-bin/show_pathway?hsa04530 "," DLG2  DLG3  CGN"
0.0692559482156861,5,530,4.40527531767424,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," PLCG2  PRKCB  ELOC  ELOB  ARHGEF1"
0.0733036002258681,2,57,16.3845327604726,"Path:hsa00480 Glutathione metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00480 "," RRM2B  SMS"
0.0733036002258681,2,59,15.8291248702871,"Path:hsa04370 VEGF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04370 "," PLCG2  PRKCB"
0.0835546246310314,2,68,13.734093637455,"Path:hsa04664 Fc epsilon RI signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04664 "," PLCG2  VAV1"
0.0835546246310314,2,68,13.734093637455,"Path:hsa05211 Renal cell carcinoma","http://www.genome.jp/kegg-bin/show_pathway?hsa05211 "," ELOC  ELOB"
0.0840180916173403,2,75,12.4522448979592,"Path:hsa05214 Glioma","http://www.genome.jp/kegg-bin/show_pathway?hsa05214 "," PLCG2  PRKCB"
0.0840180916173403,2,72,12.9710884353741,"Path:hsa05223 Non-small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05223 "," PLCG2  PRKCB"
0.0840180916173403,3,214,6.5461567804692,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," MIB1  VAV1  ARHGEF1"
0.0878951207866657,2,79,11.8217514854043,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," PLCG2  PRKCB"
