"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0927330411007454,1,134,17.0753731343284,"Path:hsa00190 Oxidative phosphorylation","http://www.genome.jp/kegg-bin/show_pathway?hsa00190 "," NDUFA8"
0.0927330411007454,1,36,63.5583333333333,"Path:hsa00512 Mucin type O-glycan biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00512 "," GALNT2"
0.0927330411007454,1,47,48.6829787234043,"Path:hsa00514 Other types of O-glycan biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?hsa00514 "," GALNT2"
0.0927330411007454,1,73,31.3438356164384,"Path:hsa00562 Inositol phosphate metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00562 "," PIK3CA"
0.0927330411007454,1,47,48.6829787234043,"Path:hsa00620 Pyruvate metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa00620 "," ACYP1"
0.0927330411007454,4,1538,5.95084525357607,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," GALNT2  NDUFA8  PIK3CA  ACYP1"
0.0927330411007454,1,79,28.9632911392405,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," PIK3CA"
0.0927330411007454,1,95,24.0852631578947,"Path:hsa01522 Endocrine resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01522 "," PIK3CA"
0.0927330411007454,1,73,31.3438356164384,"Path:hsa01524 Platinum drug resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01524 "," PIK3CA"
0.0927330411007454,1,131,17.4664122137405,"Path:hsa03040 Spliceosome","http://www.genome.jp/kegg-bin/show_pathway?hsa03040 "," SNRNP200"
0.0927330411007454,1,84,27.2392857142857,"Path:hsa04012 ErbB signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04012 "," PIK3CA"
0.0927330411007454,1,109,20.9917431192661,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," PIK3CA"
0.0927330411007454,1,131,17.4664122137405,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," PIK3CA"
0.0927330411007454,1,97,23.5886597938144,"Path:hsa04070 Phosphatidylinositol signaling system","http://www.genome.jp/kegg-bin/show_pathway?hsa04070 "," PIK3CA"
0.0927330411007454,1,119,19.227731092437,"Path:hsa04071 Sphingolipid signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04071 "," PIK3CA"
0.0927330411007454,1,148,15.4601351351351,"Path:hsa04072 Phospholipase D signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04072 "," PIK3CA"
0.0927330411007454,1,141,16.2276595744681,"Path:hsa04140 Autophagy-animal","http://www.genome.jp/kegg-bin/show_pathway?hsa04140 "," PIK3CA"
0.0927330411007454,1,121,18.9099173553719,"Path:hsa04152 AMPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04152 "," PIK3CA"
0.0927330411007454,1,136,16.8242647058824,"Path:hsa04210 Apoptosis","http://www.genome.jp/kegg-bin/show_pathway?hsa04210 "," PIK3CA"
0.0927330411007454,1,89,25.7089887640449,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," PIK3CA"
0.0927330411007454,1,62,36.9048387096774,"Path:hsa04213 Longevity regulating pathway-multiple species","http://www.genome.jp/kegg-bin/show_pathway?hsa04213 "," PIK3CA"
0.0927330411007454,1,134,17.0753731343284,"Path:hsa04270 Vascular smooth muscle contraction","http://www.genome.jp/kegg-bin/show_pathway?hsa04270 "," MYH10"
0.0927330411007454,1,59,38.7813559322034,"Path:hsa04370 VEGF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04370 "," PIK3CA"
0.0927330411007454,1,126,18.1595238095238,"Path:hsa04380 Osteoclast differentiation","http://www.genome.jp/kegg-bin/show_pathway?hsa04380 "," PIK3CA"
0.0927330411007454,1,143,16.0006993006993,"Path:hsa04550 Signaling pathways regulating pluripotency of stem cells","http://www.genome.jp/kegg-bin/show_pathway?hsa04550 "," PIK3CA"
0.0927330411007454,1,124,18.4524193548387,"Path:hsa04611 Platelet activation","http://www.genome.jp/kegg-bin/show_pathway?hsa04611 "," PIK3CA"
0.0927330411007454,1,103,22.2145631067961,"Path:hsa04620 Toll-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04620 "," PIK3CA"
0.0927330411007454,1,104,22.0009615384615,"Path:hsa04625 C-type lectin receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04625 "," PIK3CA"
0.0927330411007454,1,130,17.6007692307692,"Path:hsa04650 Natural killer cell mediated cytotoxicity","http://www.genome.jp/kegg-bin/show_pathway?hsa04650 "," PIK3CA"
0.0927330411007454,1,103,22.2145631067961,"Path:hsa04660 T cell receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04660 "," PIK3CA"
0.0927330411007454,1,81,28.2481481481482,"Path:hsa04662 B cell receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04662 "," PIK3CA"
0.0927330411007454,1,68,33.6485294117647,"Path:hsa04664 Fc epsilon RI signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04664 "," PIK3CA"
0.0927330411007454,1,97,23.5886597938144,"Path:hsa04666 Fc gamma R-mediated phagocytosis","http://www.genome.jp/kegg-bin/show_pathway?hsa04666 "," PIK3CA"
0.0927330411007454,1,112,20.4294642857143,"Path:hsa04668 TNF signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04668 "," PIK3CA"
0.0927330411007454,1,114,20.0710526315789,"Path:hsa04670 Leukocyte transendothelial migration","http://www.genome.jp/kegg-bin/show_pathway?hsa04670 "," PIK3CA"
0.0927330411007454,1,119,19.227731092437,"Path:hsa04722 Neurotrophin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04722 "," PIK3CA"
0.0927330411007454,1,148,15.4601351351351,"Path:hsa04723 Retrograde endocannabinoid signaling","http://www.genome.jp/kegg-bin/show_pathway?hsa04723 "," NDUFA8"
0.0927330411007454,1,113,20.2486725663717,"Path:hsa04725 Cholinergic synapse","http://www.genome.jp/kegg-bin/show_pathway?hsa04725 "," PIK3CA"
0.0927330411007454,1,98,23.3479591836735,"Path:hsa04750 Inflammatory mediator regulation of TRP channels","http://www.genome.jp/kegg-bin/show_pathway?hsa04750 "," PIK3CA"
